recipe,ingredients,steps,category
,"","",
Egg Fried Rice,"egg, rice, soy sauce, green onions, oil","Scramble eggs in a pan with oil. Add cooked rice and soy sauce. Stir-fry until well mixed and heated through. Garnish with chopped green onions.","non-veg"
Deviled Eggs,"egg, mayonnaise, mustard, salt, pepper","Boil eggs and peel. Cut in half lengthwise and remove yolks. Mix yolks with mayonnaise, mustard, salt, and pepper. Spoon or pipe mixture back into egg whites.","non-veg"
Scrambled Eggs,"egg, salt, pepper, butter","Crack eggs into a bowl and whisk with salt and pepper. Melt butter in a pan over medium heat. Pour in eggs and cook, stirring gently, until fully cooked.","non-veg"
Barbecue Chips,"potato, barbecue seasoning, salt, oil","Slice potato thinly. Toss with barbecue seasoning and salt. Fry until crispy. Drain excess oil.",non-veg
Sour Cream and Onion Chips,"potato, sour cream powder, onion powder, salt, oil","Slice potato thinly. Toss with sour cream powder, onion powder, and salt. Fry until crispy. Drain excess oil.",veg
Salt and Vinegar Chips,"potato, vinegar, salt, oil","Slice potato thinly. Soak in vinegar and salt solution for 30 minutes. Fry until crispy. Drain excess oil.",veg
Cheese and Jalapeno Chips,"potato, cheddar cheese powder, jalapeno powder, salt, oil","Slice potato thinly. Toss with cheddar cheese powder, jalapeno powder, and salt. Fry until crispy. Drain excess oil.",veg
Chili Lime Chips,"potato, chili powder, lime zest, salt, oil","Slice potato thinly. Toss with chili powder, lime zest, and salt. Fry until crispy. Drain excess oil.",veg
Sriracha Chips,"potato, sriracha sauce, salt, oil","Slice potato thinly. Toss with sriracha sauce and salt. Fry until crispy. Drain excess oil.",veg
Ranch Chips,"potato, ranch seasoning, salt, oil","Slice potato thinly. Toss with ranch seasoning and salt. Fry until crispy. Drain excess oil.",veg
Buffalo Chips,"potato, buffalo sauce, salt, oil","Slice potato thinly. Toss with buffalo sauce and salt. Fry until crispy. Drain excess oil.",non-veg
Truffle Chips,"potato, truffle oil, salt, oil","Slice potato thinly. Toss with truffle oil and salt. Fry until crispy. Drain excess oil.",veg
Garlic Parmesan Chips,"potato, garlic powder, grated parmesan cheese, salt, oil","Slice potato thinly. Toss with garlic powder, grated parmesan cheese, and salt. Fry until crispy. Drain excess oil.",veg
Dosa,"dosa batter, rice, urad dal, fenugreek seeds, salt, water","Soak rice, urad dal, and fenugreek seeds separately. Grind into a smooth batter. Ferment overnight. Heat a griddle, pour batter, spread thin. Cook until crispy. Serve hot with chutney and sambar.",veg
Masala Dosa,"dosa batter, potato, onion, mustard seeds, curry leaves, green chili, turmeric, salt, oil","Boil potato, mash. Sauté mustard seeds, curry leaves, green chili, and onion. Add potato, turmeric, and salt. Spread dosa batter, place potato filling, fold. Cook until crispy. Serve hot with chutney and sambar.",veg
Set Dosa,"dosa batter, rice, urad dal, poha, fenugreek seeds, salt, water","Soak rice, urad dal, poha, and fenugreek seeds separately. Grind into a smooth batter. Ferment overnight. Pour batter onto a hot griddle to form small thick pancakes. Cook until golden brown. Serve hot with chutney and sambar.",veg
Idli,"rice, urad dal, fenugreek seeds, salt, water","Soak rice, urad dal, and fenugreek seeds separately. Grind into a smooth batter. Ferment overnight. Pour batter into idli molds. Steam until cooked. Serve hot with chutney and sambar.",veg
Vada,"urad dal, green chili, ginger, curry leaves, onion, salt, oil","Soak urad dal. Grind into a smooth batter with green chili and ginger. Add curry leaves, onion, and salt. Shape into small discs, deep fry until golden brown. Serve hot with chutney and sambar.",veg
Upma,"semolina, oil, mustard seeds, urad dal, chana dal, green chili, curry leaves, onion, ginger, carrot, peas, salt, water","Dry roast semolina until golden. Sauté mustard seeds, urad dal, chana dal, green chili, curry leaves, onion, and ginger. Add vegetables, water, and salt. Cook until water is absorbed. Serve hot.",veg
Pongal,"rice, split moong dal, ginger, black pepper, cumin seeds, curry leaves, cashews, ghee, salt, water","Dry roast rice and moong dal until aromatic. Cook with water, ginger, and salt until soft. Temper with ghee, black pepper, cumin seeds, curry leaves, and cashews. Serve hot.",veg
Bisi Bele Bath,"rice, toor dal, tamarind, mixed vegetables, coconut, red chili, coriander seeds, chana dal, urad dal, fenugreek seeds, mustard seeds, curry leaves, cinnamon, cloves, turmeric, jaggery, ghee, salt, water","Cook rice and toor dal until soft. Cook tamarind extract, mixed vegetables, and spices until tender. Mix with cooked rice and dal. Temper with spices and ghee. Serve hot.",veg
Rasam,"tomato, tamarind, garlic, curry leaves, green chili, mustard seeds, cumin seeds, black pepper, turmeric, coriander leaves, salt, water","Cook tomato, tamarind, garlic, curry leaves, green chili, and spices until soft. Add water, bring to a boil. Garnish with coriander leaves. Serve hot as a soup or with rice.",veg
Adai,"rice, toor dal, chana dal, urad dal, red chili, ginger, curry leaves, asafoetida, salt, oil","Soak rice and dals separately. Grind into a coarse batter with red chili and ginger. Add curry leaves, asafoetida, and salt. Spread on a hot griddle, cook until crispy. Serve hot with chutney and sambar.",veg
Jalebi,"all-purpose flour, yogurt, water, sugar, saffron, cardamom, oil","Prepare batter with all-purpose flour and yogurt. Ferment. Make a sugar syrup with water, sugar, saffron, and cardamom. Pipe batter into hot oil in circular motions, fry until crispy. Soak in sugar syrup.",veg
Ras Malai,"milk, lemon juice, sugar, saffron, cardamom, almonds, pistachios","Boil milk, add lemon juice to curdle. Strain and collect chenna. Knead chenna, shape into balls, flatten. Boil in sugar syrup. Serve cold, garnished with saffron, cardamom, almonds, and pistachios.",veg
Gulab Jamun,"milk powder, all-purpose flour, yogurt, ghee, sugar, water, cardamom, saffron, rose water","Mix milk powder, all-purpose flour, yogurt, and ghee to make a dough. Shape into balls. Fry until golden. Make sugar syrup with water, sugar, cardamom, saffron, and rose water. Soak fried balls in syrup.",veg
Kaju Katli,"cashews, sugar, water, ghee","Grind cashews into a fine powder. Cook with sugar and water until thickened. Spread on a greased surface, cool, cut into diamond shapes.",veg
Barfi,"milk powder, condensed milk, ghee, sugar, cardamom, pistachios","Cook milk powder, condensed milk, ghee, and sugar until thickened. Add cardamom, spread in a greased tray, garnish with pistachios. Cool, cut into squares.",veg
Rasmalai,"milk, sugar, cardamom, saffron, almonds, pistachios, chenna","Boil milk, add sugar, cardamom, saffron, almonds, and pistachios. Shape chenna into balls, flatten. Boil in milk, chill, serve cold.",veg
Gajar Halwa,"carrots, milk, sugar, ghee, cardamom, almonds, pistachios","Grate carrots, cook with milk until thickened. Add sugar, ghee, cardamom, cook until ghee separates. Garnish with almonds and pistachios.",veg
Rabri,"milk, sugar, saffron, cardamom, almonds, pistachios","Boil milk, reduce until thickened. Add sugar, saffron, cardamom, almonds, and pistachios. Chill, serve cold.",veg
Sandesh,"paneer, sugar, cardamom, saffron, pistachios","Knead paneer with sugar, cardamom, saffron. Shape into balls, flatten. Garnish with pistachios.",veg
Modak,"rice flour, jaggery, coconut, cardamom, ghee"," Make dough with rice flour and water.  Cook jaggery, coconut, cardamom until thickened.  Fill dough with mixture, shape into cones.  Steam until cooked.",veg
Dahi Samosa Chaat,"samosa, yogurt, tamarind, mint, cilantro, green chili, chaat masala, cumin powder, black salt, salt, sev"," Break samosa into pieces.  Top with yogurt, tamarind chutney, and spices.  Garnish with sev, mint, and cilantro.",veg
Dahi Kachori Chaat,"kachori, yogurt, tamarind, mint, cilantro, green chili, chaat masala, cumin powder, black salt, salt, sev"," Break kachori into pieces.  Top with yogurt, tamarind chutney, and spices.  Garnish with sev, mint, and cilantro.",veg
Pani Puri,"semolina, wheat flour, water, tamarind, mint, cilantro, green chili, chaat masala, cumin powder, black salt, boiled potato, chickpeas, salt, oil"," Prepare dough with semolina and wheat flour.  Roll out small puris, deep fry until crispy.  Fill with potato, chickpeas, tamarind water, and spices.  Serve immediately.",veg
Dahi Puri,"semolina, wheat flour, water, yogurt, tamarind, mint, cilantro, green chili, chaat masala, cumin powder, black salt, boiled potato, chickpeas, salt, sev"," Prepare dough with semolina and wheat flour.  Roll out small puris, deep fry until crispy.  Fill with potato, chickpeas, yogurt, tamarind chutney, and spices.  Top with sev and serve.",veg
Masala Puri,"semolina, wheat flour, water, boiled potato, chickpeas, onion, tomato, cilantro, green chili, chaat masala, cumin powder, black salt, salt, sev"," Prepare dough with semolina and wheat flour.  Roll out small puris, deep fry until crispy.  Crush and mix with potato, chickpeas, onion, tomato, cilantro, and spices.  Top with sev and serve.",veg
Sev Puri,"semolina, wheat flour, water, boiled potato, onion, tomato, cilantro, green chili, tamarind, mint, chaat masala, cumin powder, black salt, salt, sev"," Prepare dough with semolina and wheat flour.  Roll out small puris, deep fry until crispy.  Top with potato, onion, tomato, cilantro, tamarind chutney, and spices.  Garnish with sev and serve.",veg
Bhel Puri,"puffed rice, onion, tomato, boiled potato, cilantro, green chili, tamarind, mint, chaat masala, cumin powder, black salt, salt, sev"," Mix puffed rice with chopped onion, tomato, potato, cilantro, green chili, tamarind chutney, and spices.  Garnish with sev and serve.",veg
Dahi Bhalla,"urad dal, moong dal, yogurt, tamarind, mint, cilantro, green chili, chaat masala, cumin powder, black salt, salt"," Soak dal, grind, and fry into balls.  Soak in water, drain, and cover with yogurt, tamarind chutney, and spices.  Garnish with sev and serve.",veg
Ragda Patties,"potato, white peas, onion, tomato, cilantro, green chili, tamarind, mint, chaat masala, cumin powder, black salt, salt, oil"," Boil potato and white peas.  Mash potato, shape into patties, fry until golden.  Serve with ragda (white peas curry), topped with onion, tomato, cilantro, tamarind chutney, and spices.",veg
Chole Chaat,"chickpeas, onion, tomato, cilantro, green chili, tamarind, mint, chaat masala, cumin powder, black salt, salt, oil"," Cook chickpeas until soft.  Mix with chopped onion, tomato, cilantro, green chili, tamarind chutney, and spices.  Serve as a chaat.",veg
Aloo Chaat,"potato, onion, tomato, cilantro, green chili, tamarind, mint, chaat masala, cumin powder, black salt, salt, oil"," Boil potato, cube.  Sauté with chopped onion, tomato, cilantro, green chili, tamarind chutney, and spices.  Serve hot as a chaat.",veg
Kachori Chaat,"moong dal, wheat flour, oil, yogurt, tamarind, mint, cilantro, green chili, chaat masala, cumin powder, black salt, salt, sev"," Make dough with moong dal and wheat flour.  Shape into balls, deep fry until golden.  Top with yogurt, tamarind chutney, and spices.  Garnish with sev and serve.",veg
Aloo Gobi,"potato, cauliflower, onion, tomato, ginger, garlic, cumin, coriander powder, turmeric, chili powder, salt, garam masala"," Sauté onion, ginger, garlic in oil.  Add tomato and spices, cook until oil separates.  Add potato and cauliflower, cook until tender.",veg
Potato Curry,"potato, onion, tomato, garlic, ginger, green chili, cumin, coriander powder, turmeric, chili powder, garam masala, salt, oil"," Sauté onion, garlic, ginger, and green chili in oil.  Add tomato and spices, cook until oil separates.  Add potato, cook until tender.",veg
Potato Wedges,"potato, olive oil, garlic powder, paprika, salt, pepper"," Cut potatoes into wedges.  Toss with olive oil, garlic powder, paprika, salt, and pepper.  Bake until crispy.",veg
Potato Salad,"potato, mayonnaise, mustard, vinegar, onion, celery, salt, pepper"," Boil potatoes, cube.  Mix with mayonnaise, mustard, vinegar, onion, celery, salt, and pepper.",veg
Potato Soup,"potato, onion, garlic, vegetable broth, milk, butter, salt, pepper"," Sauté onion and garlic in butter.  Add potato and broth, simmer until potato is soft.  Blend until smooth, add milk, salt, and pepper.",veg
Aloo Paratha,"potato, whole wheat flour, ghee, green chili, ginger, coriander leaves, salt"," Boil potato, mash.  Mix with spices.  Stuff dough with potato mixture.  Cook on griddle with ghee.",veg
Potato Pancakes,"potato, onion, egg, flour, salt, pepper, oil"," Grate potato and onion.  Mix with egg, flour, salt, and pepper.  Fry in oil until golden brown.",veg
Potato Curry (Dry),"potato, onion, garlic, ginger, green chili, cumin seeds, mustard seeds, turmeric, chili powder, coriander powder, salt, oil"," Sauté onion, garlic, ginger, and green chili in oil.  Add spices, cook until fragrant.  Add potato, cook until tender.",veg
Potato Chips,"potato, oil, salt"," Slice potatoes thinly.  Fry in oil until crispy.  Season with salt.",veg
Potato Croquettes,"potato, bread crumbs, egg, onion, garlic, parsley, salt, pepper, oil"," Boil potato, mash.  Mix with onion, garlic, parsley, salt, and pepper.  Shape into croquettes, dip in egg, coat with bread crumbs.  Fry until golden brown.",veg
Shahi Paneer,"paneer, cream, tomato, onion, ginger, garlic, cashew nuts, yogurt, green chili, cumin, coriander powder, turmeric, garam masala, salt"," Sauté onion, ginger, garlic, and cashew nuts.  Add tomato and spices, cook until oil separates.  Add paneer, cream, and yogurt, simmer.",veg
Kadai Paneer,"paneer, tomato, onion, capsicum, garlic, ginger, green chili, cumin, coriander powder, turmeric, garam masala, salt, oil"," Sauté onion, garlic, ginger, and capsicum.  Add tomato and spices, cook until oil separates.  Add paneer, cook until done.",veg
Paneer Tikka Masala,"paneer, yogurt, tomato, onion, ginger, garlic, green chili, cashew nuts, garam masala, turmeric, chili powder, coriander powder, cumin, salt, cream, butter"," Marinate paneer with yogurt and spices.  Grill paneer.  Sauté onion, ginger, garlic, and cashew nuts.  Add tomato and spices, cook until oil separates.  Add grilled paneer, cream, and butter, simmer.",veg
Paneer Bhurji,"paneer, onion, tomato, capsicum, garlic, ginger, green chili, turmeric, chili powder, garam masala, salt, oil"," Sauté onion, garlic, ginger, capsicum, and green chili.  Add tomato and spices, cook until soft.  Add crumbled paneer, cook until combined.",veg
Paneer Pulao,"paneer, rice, onion, tomato, green chili, garlic, ginger, mint leaves, coriander leaves, turmeric, garam masala, salt, oil"," Sauté onion, garlic, ginger, and green chili.  Add tomato and spices, cook until soft.  Add rice, water, and paneer, cook until done.",veg
Paneer Korma,"paneer, yogurt, tomato, onion, ginger, garlic, cashew nuts, coconut, green chili, garam masala, turmeric, chili powder, coriander powder, cumin, salt, oil"," Sauté onion, ginger, garlic, and cashew nuts.  Add tomato, coconut, and spices, cook until oil separates.  Add yogurt and paneer, simmer.",veg
Paneer Pakora,"paneer, chickpea flour, rice flour, baking soda, turmeric, chili powder, garam masala, salt, water, oil"," Make batter with chickpea flour, rice flour, and spices.  Dip paneer in batter.  Fry until golden brown.",veg
Paneer Makhani,"paneer, tomato, cream, butter, onion, ginger, garlic, cashew nuts, yogurt, green chili, garam masala, turmeric, chili powder, coriander powder, cumin, salt"," Sauté onion, ginger, garlic, and cashew nuts.  Add tomato and spices, cook until oil separates.  Add cream, butter, yogurt, and paneer, simmer.",veg
Lemon Rice,"rice, lemon, mustard seeds, urad dal, chana dal, green chili, curry leaves, turmeric, salt, oil"," Cook rice.  Sauté mustard seeds, urad dal, chana dal, green chili, and curry leaves in oil.  Add turmeric, salt, and lemon juice.  Mix with rice.",veg
Vegetable Biryani,"rice, mixed vegetables, yogurt, onion, tomato, garlic, ginger, green chili, cumin, coriander powder, garam masala, saffron, salt, ghee"," Marinate vegetables with yogurt and spices.  Cook rice with saffron.  Layer rice and vegetables, cook on low heat.",veg
Tomato Rice,"rice, tomato, onion, garlic, ginger, green chili, mustard seeds, urad dal, chana dal, curry leaves, turmeric, salt, oil"," Sauté mustard seeds, urad dal, chana dal, green chili, curry leaves, onion, garlic, and ginger in oil.  Add tomato and spices.  Mix with rice.",veg
Coconut Rice,"rice, coconut, mustard seeds, urad dal, chana dal, green chili, curry leaves, turmeric, salt, oil"," Sauté mustard seeds, urad dal, chana dal, green chili, and curry leaves in oil.  Add coconut, turmeric, and salt.  Mix with rice.",veg
Pulao,"rice, mixed vegetables, onion, tomato, garlic, ginger, green chili, cumin, coriander powder, garam masala, salt, oil"," Sauté onion, garlic, ginger, and green chili in oil.  Add tomato and spices.  Mix with rice and vegetables.",veg
Curd Rice,"rice, yogurt, mustard seeds, urad dal, chana dal, green chili, curry leaves, ginger, salt, oil"," Cook rice.  Mix with yogurt, salt, and ginger.  Sauté mustard seeds, urad dal, chana dal, green chili, and curry leaves in oil.  Mix with rice.",veg
Tamarind Rice,"rice, tamarind, mustard seeds, urad dal, chana dal, red chili, fenugreek seeds, curry leaves, turmeric, salt, oil"," Cook rice.  Sauté mustard seeds, urad dal, chana dal, red chili, fenugreek seeds, and curry leaves in oil.  Add tamarind paste, turmeric, and salt.  Mix with rice.",veg
Mushroom Biryani,"rice, mushrooms, yogurt, onion, tomato, garlic, ginger, green chili, cumin, coriander powder, garam masala, saffron, salt, ghee"," Marinate mushrooms with yogurt and spices.  Cook rice with saffron.  Layer rice and mushrooms, cook on low heat.",veg
Pasta with Tomato Sauce,"pasta, tomato sauce, garlic, olive oil, salt, pepper"," Cook pasta.  Prepare sauce with garlic and olive oil.  Mix pasta with sauce.  Add salt and pepper to taste.",veg
Chicken Salad,"chicken breast, lettuce, tomato, cucumber, olive oil, lemon juice, salt, pepper"," Cook and shred chicken breast.  Chop lettuce, tomato, and cucumber.  Mix all ingredients.  Add olive oil, lemon juice, salt, and pepper to taste.",non-veg
Omelette,"egg, milk, cheese, salt, pepper, butter"," Beat eggs with milk, salt, and pepper.  Melt butter in a pan.  Pour the egg mixture into the pan.  Add cheese.  Cook until done.",non-veg
Fruit Smoothie,"banana, strawberries, yogurt, honey, milk"," Combine all ingredients in a blender.  Blend until smooth.",veg
Vegetable Stir Fry,"broccoli, carrot, bell pepper, soy sauce, garlic, ginger, olive oil"," Chop vegetables.  Stir fry garlic and ginger in olive oil.  Add vegetables and stir fry.  Add soy sauce and cook until vegetables are tender.",veg
Garlic Pasta,"pasta, garlic, olive oil, salt, pepper"," Cook pasta.  Sauté garlic in olive oil.  Mix pasta with garlic and olive oil.  Add salt and pepper to taste.",veg
Greek Salad,"tomato, cucumber, olive oil, lemon juice, salt, pepper, feta cheese, olives"," Chop tomato and cucumber.  Mix all ingredients.  Add olive oil, lemon juice, salt, and pepper to taste.  Add feta cheese and olives.",veg
Cheese Omelette,"egg, milk, cheese, salt, pepper, butter"," Beat eggs with milk, salt, and pepper.  Melt butter in a pan.  Pour the egg mixture into the pan.  Add cheese.  Cook until done.",non-veg
Chole,"chickpeas, onion, tomato, ginger, garlic, cumin, coriander powder, garam masala, salt, turmeric, chili powder"," Soak chickpeas overnight.  Cook chickpeas until tender.  Sauté onion, ginger, garlic in oil.  Add tomato and spices, cook until oil separates.  Add chickpeas and simmer.",veg
Paneer Butter Masala,"paneer, butter, tomato, cream, onion, ginger, garlic, chili powder, turmeric, garam masala, salt"," Sauté onion, ginger, garlic in butter.  Add tomato and spices, cook until oil separates.  Add paneer and cream, simmer.",veg
Baingan Bharta,"eggplant, tomato, onion, garlic, ginger, green chili, cumin, coriander powder, turmeric, salt, garam masala, oil"," Roast eggplant, remove skin, and mash.  Sauté onion, ginger, garlic in oil.  Add tomato and spices, cook until oil separates.  Add mashed eggplant, cook for 10 minutes.",veg
Biryani,"rice, chicken, yogurt, onion, tomato, garlic, ginger, green chili, cumin, coriander powder, garam masala, saffron, salt, ghee"," Marinate chicken with yogurt and spices.  Cook rice with saffron.  Layer rice and chicken, cook on low heat.",non-veg
Butter Chicken,"chicken, butter, tomato, cream, onion, garlic, ginger, chili powder, turmeric, garam masala, salt"," Marinate chicken with yogurt and spices.  Grill chicken.  Make sauce with butter, onion, garlic, tomato, and spices.  Add chicken and cream, simmer.",non-veg
Dal Makhani,"black lentils, kidney beans, tomato, onion, ginger, garlic, butter, cream, cumin, coriander powder, turmeric, chili powder, salt"," Soak lentils and beans overnight.  Cook lentils and beans until tender.  Sauté onion, ginger, garlic in butter.  Add tomato and spices, cook until oil separates.  Add lentils and beans, simmer with cream.",veg
Masoor Dal,"red lentils, tomato, onion, garlic, ginger, cumin, coriander powder, turmeric, chili powder, salt, ghee"," Cook lentils until tender.  Sauté onion, ginger, garlic in ghee.  Add tomato and spices, cook until oil separates.  Add lentils, simmer.",veg
Palak Paneer,"spinach, paneer, tomato, onion, garlic, ginger, cumin, coriander powder, turmeric, chili powder, salt, cream"," Blanch spinach and puree.  Sauté onion, ginger, garlic in oil.  Add tomato and spices, cook until oil separates.  Add spinach puree and paneer, simmer with cream.",veg
Rogan Josh,"lamb, yogurt, tomato, onion, garlic, ginger, cumin, coriander powder, turmeric, chili powder, garam masala, salt, ghee"," Marinate lamb with yogurt and spices.  Sauté onion, ginger, garlic in ghee.  Add tomato and spices, cook until oil separates.  Add lamb, simmer until tender.",non-veg
Saag,"mustard greens, spinach, onion, garlic, ginger, green chili, cornmeal, ghee, cumin, coriander powder, turmeric, salt"," Cook greens until tender, puree.  Sauté onion, ginger, garlic in ghee.  Add spices and puree, simmer with cornmeal.",vegSamosa,"potato, peas, cumin, coriander powder, garam masala, turmeric, chili powder, salt, flour, oil, water"," Make dough with flour, water, and oil.  Cook filling with potato, peas, and spices.  Fill dough with filling, fry until golden."
Tandoori Chicken,"chicken, yogurt, garlic, ginger, lemon juice, chili powder, turmeric, garam masala, cumin, salt"," Marinate chicken with yogurt and spices.  Grill chicken until cooked.", non-veg
Vegetable Curry,"mixed vegetables, tomato, onion, garlic, ginger, cumin, coriander powder, turmeric, chili powder, garam masala, salt, oil"," Sauté onion, ginger, garlic in oil.  Add tomato and spices, cook until oil separates.  Add vegetables, cook until tender.", veg
Vada Pav,"potato, garlic, green chili, turmeric, salt, flour, water, oil, bread rolls"," Make dough with flour and water.  Cook filling with potato and spices.  Fill dough with filling, fry until golden.  Serve in bread rolls.", veg
Samosa,"potato, peas, cumin, coriander powder, garam masala, turmeric, chili powder, salt, flour, oil, water"," Make dough with flour, water, and oil.  Cook filling with potato, peas, and spices.  Fill dough with filling, fry until golden.", veg